timestamp_us,freq_hz,rssi_dbm,len,src,dst,cmdid,oneway,crc_ok,hex
1879984896,868950000,-54,25,AA4E44,00003F,0,1,1,F62000003FAA4E440001610000000014A557DDAB4627170524
1880008896,868950000,-54,25,AA4E44,00003F,0,1,1,F60000003FAA4E440001610000000014A557DDAB462717E0A6
1880032896,868950000,-54,25,AA4E44,00003F,0,1,1,F60000003FAA4E440001610000000014A557DDAB462717E0A6
1880056896,868950000,-54,25,AA4E44,00003F,0,1,1,F60000003FAA4E440001610000000014A557DDAB462717E0A6
1891458896,868950000,-51,25,67EDA5,00003F,0,1,1,F62000003F67EDA50001610000000013CE6A80F5F657348420
1891481896,868950000,-51,25,67EDA5,00003F,0,1,1,F60000003F67EDA50001610000000013CE6A80F5F6573461A2
1891505896,868950000,-51,25,67EDA5,00003F,0,1,1,F60000003F67EDA50001610000000013CE6A80F5F6573461A2
1891529896,868950000,-51,25,67EDA5,00003F,0,1,1,F60000003F67EDA50001610000000013CE6A80F5F6573461A2
1905762896,868950000,-55,25,39F90D,00003F,0,1,1,F62000003F39F90D000161000000000EDABBADA98D9797464E
1905786896,868950000,-55,25,39F90D,00003F,0,1,1,F60000003F39F90D000161000000000EDABBADA98D9797A3CC
1905810896,868950000,-55,25,39F90D,00003F,0,1,1,F60000003F39F90D000161000000000EDABBADA98D9797A3CC
1905834896,868950000,-55,25,39F90D,00003F,0,1,1,F60000003F39F90D000161000000000EDABBADA98D9797A3CC
