timestamp_us,freq_hz,rssi_dbm,len,src,dst,cmdid,oneway,crc_ok,hex
70208896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D3000021F4FD8911D0F87EB72F
70232896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D3000021F4FD8911D0F87EB72F
70258896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D3000021F4FD8911D0F87EB72F
70282896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D3000021F4FD8911D0F87EB72F
70550896,868950000,-41,25,A58E29,00003F,0,1,1,F62000003FA58E290001430000000021F5EC6A42A5D3A4636E
70574896,868950000,-41,25,A58E29,00003F,0,1,1,F60000003FA58E290001430000000021F5EC6A42A5D3A486EC
70598896,868950000,-41,25,A58E29,00003F,0,1,1,F60000003FA58E290001430000000021F5EC6A42A5D3A486EC
70622896,868950000,-41,25,A58E29,00003F,0,1,1,F60000003FA58E290001430000000021F5EC6A42A5D3A486EC
70650896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C000021F69249005330A04585
70674896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C000021F69249005330A04585
70698896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C000021F69249005330A04585
70724896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C000021F69249005330A04585
70756896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF0021F7DE0B92B5098C87B5
70780896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF0021F7DE0B92B5098C87B5
70804896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF0021F7DE0B92B5098C87B5
70830896,868950000,-41,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF0021F7DE0B92B5098C87B5
70856896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C8000021F864508F836AF15B1B
70882896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C8000021F864508F836AF15B1B
70906896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C8000021F864508F836AF15B1B
70933896,868950000,-41,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C8000021F864508F836AF15B1B
94742896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080D300001817E374BAC6E72FB44F
94766896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080D300001817E374BAC6E72FB44F
94792896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080D300001817E374BAC6E72FB44F
94816896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080D300001817E374BAC6E72FB44F
95082896,868950000,-44,25,CF5526,00003F,0,1,1,F62000003FCF55260001430000000018188DB8270AC65DCD65
95108896,868950000,-44,25,CF5526,00003F,0,1,1,F60000003FCF55260001430000000018188DB8270AC65D28E7
95132896,868950000,-44,25,CF5526,00003F,0,1,1,F60000003FCF55260001430000000018188DB8270AC65D28E7
95156896,868950000,-44,25,CF5526,00003F,0,1,1,F60000003FCF55260001430000000018188DB8270AC65D28E7
95182896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF0143000C000018193636AB270F99F55F
95206896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF0143000C000018193636AB270F99F55F
95232896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF0143000C000018193636AB270F99F55F
95256896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF0143000C000018193636AB270F99F55F
95288896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF01430005FF00181A204AD46D57B91AA7
95312896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF01430005FF00181A204AD46D57B91AA7
95338896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF01430005FF00181A204AD46D57B91AA7
95362896,868950000,-44,27,CF5526,00003F,32,1,1,F80000003FCF55262002FF01430005FF00181A204AD46D57B91AA7
95388896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080C80000181BF22C4B2F81874342
95414896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080C80000181BF22C4B2F81874342
95438896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080C80000181BF22C4B2F81874342
95462896,868950000,-44,27,CF5526,0001BF,0,1,1,F8000001BFCF5526000143000080C80000181BF22C4B2F81874342
